parameter,value,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
epsilon,0.05,20331974,149.056250,0.000000,0.000000,1,0.006086,23849,3929,0.164745,815,4.459576,138,1316794.870937
epsilon,0.05,20339893,149.912500,0.000000,0.000000,3,0.030440,23986,3980,0.165930,776,1.579634,149,1207364.114896
epsilon,0.05,20347812,149.631250,0.000000,0.000000,1,0.001507,23941,3909,0.163276,803,1.360340,148,1253901.513095
epsilon,0.05,20355731,152.662500,0.000000,0.000000,1,0.003435,24426,4026,0.164824,814,3.952618,139,1330258.119824
epsilon,0.05,20363650,149.793750,0.000000,0.000000,1,0.032097,23967,3962,0.165311,760,3.644939,145,1307809.623310
epsilon,0.05,20371569,153.193750,0.000000,0.000000,3,0.057966,24511,4027,0.164294,773,1.671042,140,1210046.476495
epsilon,0.05,20379488,154.425000,0.000000,0.000000,1,0.008511,24708,4044,0.163672,757,1.604476,146,1264982.043709
epsilon,0.05,20387407,151.818750,0.000000,0.000000,0,0.000000,24291,4001,0.164711,737,1.716987,138,1294764.204825
epsilon,0.05,20395326,154.362500,0.000000,0.000000,1,0.004984,24698,4144,0.167787,804,1.532563,151,1332771.253632
epsilon,0.05,20403245,148.781250,0.000000,0.000000,0,0.000000,23805,3886,0.163243,747,1.714451,133,1246513.517478
epsilon,0.05,20411164,151.893750,0.000000,0.000000,1,0.015925,24303,4025,0.165617,802,1.842654,147,1323301.036639
epsilon,0.10,20260703,154.056250,0.000000,0.000000,0,0.000000,24649,6285,0.254980,920,1.457228,147,1254109.770501
epsilon,0.10,20268622,151.006250,0.000000,0.000000,3,0.014769,24161,6235,0.258061,840,1.857549,135,1322485.382602
epsilon,0.10,20276541,155.450000,0.000000,0.000000,3,0.012253,24872,6425,0.258323,916,1.588130,142,1354488.901899
epsilon,0.10,20284460,149.856250,0.000000,0.000000,2,0.039776,23977,6308,0.263085,873,1.463309,135,1363572.916403
epsilon,0.10,20292379,146.793750,0.000000,0.000000,2,0.009691,23487,6179,0.263082,775,1.354321,122,1226741.175380
epsilon,0.10,20300298,148.681250,0.000000,0.000000,6,0.068834,23789,6180,0.259784,851,1.556442,135,1242334.069832
epsilon,0.10,20308217,152.031250,0.000000,0.000000,6,0.042677,24325,6362,0.261542,885,1.929535,140,1360328.349201
epsilon,0.10,20316136,149.500000,0.000000,0.000000,5,0.034676,23920,6243,0.260995,958,1.848972,139,1252970.112804
epsilon,0.10,20324055,151.718750,0.000000,0.000000,2,0.039731,24275,6424,0.264634,935,1.698843,149,1306438.385066
epsilon,0.10,20331974,148.318750,0.000000,0.000000,1,0.009993,23731,6104,0.257216,861,1.789017,138,1316794.870937
epsilon,0.10,20339893,152.150000,0.000000,0.000000,6,0.126357,24344,6297,0.258667,933,1.795431,149,1207664.114896
epsilon,0.10,20347812,149.712500,0.000000,0.000000,5,0.107132,23954,6235,0.260291,878,1.665236,146,1253901.513095
